place_name,category,google_rating
18라멘,라멘,4.0
ANAKUMA CAFE - 다이묘,카페,4.5
Blue Pine,이자아캬,4.7
Cafe+82,카페,4.3
Coffee Hanasaka,카페,4.5
Coffee Shop Clutch,카페,4.8
Coffee Stand Seed Village,카페,4.6
Denkosekka,일식,4.4
FIKA COFFEE,카페,4.5
FUK COFFEE,카페,3.6
Fujiya,이자카야,4.2
Ganso Ramen Hakata Gan Naga,라멘,3.7
Giruhuri Cafe,카페,4.2
Gyobo Santoku,이자카야,4.4
HORANGI (Horani) Korean Restaurant,기타,4.7
Hakata IPPA First Wave,이자카야,4.2
Hakata Nikudokoro Senrian,야키니쿠/고기,4.6
Hakata Ramen Tonkotusewan,라멘,4.2
Hakata Tempura Takao,일식,4.2
Kado,이자카야,4.3
Kawakko Daimyo Honten,야키니쿠/고기,4.6
Kona-Cafe,바,4.8
Kuishinbo,이자카야,4.4
Kururi,야키니쿠/고기,4.7
Lamplight Books Cafe Fukuoka,카페,4.2
Maruni,일식,4.6
Minipig Cafe,동물카페,0.0
Morikawa,이자카야,4.8
Motsunabe Rakutenchi Hakata ST-2 BR,일식,4.8
NIKURIKIYA Tenzinimaizumi,야키니쿠/고기,4.7
NOOICE Tenjin,카페,4.4
Nomidokoro jun,이자카야,4.9
Owl Cafe Tenjin,동물카페,0.0
PLAY korean bar,바,4.9
QUON RIVER TERRACE,카페,4.3
REC COFFEE Hakata Marui Shop,카페,4.2
REC COFFEE Yakuin Station Shop,카페,4.3
SORA COFFEE,카페,4.7
Sensho,야키니쿠/고기,4.0
Sumiyaki modan,이자카야,4.9
Sushi Kaede,스시,4.7
TOFFEE park,카페,4.3
TYROL,카페,4.6
Warausakana,이자카야,4.8
YAKITORI TOKIYA,이자카야,4.5
Yakiniku Don Don Daimyo,야키니쿠/고기,4.5
Yakiniku Hayato,야키니쿠/고기,4.6
cafe KIKUYA,카페,4.3
cafe’ cassette(カフェ カセット),카페,4.4
お酒とごはん おさななじみ,이자카야,4.5
もつ鍋専門店 博多もつ鍋専門店楽天地 離れ4階 ヨドバシ博多駅店,일식,4.8
やひろ屋,라멘,4.4
ネシガン,카페,4.4
ホルモン鉄板鍋 幸家YUKIYA,야키니쿠/고기,4.8
元祖トマトラーメンと辛麺と元祖トマトもつ鍋 三味(333) 十日えびす店,라멘,4.6
博多 晴家,이자카야,4.4
博多 灯（ともり）,이자카야,4.5
博多バリ３酒場,이자카야,4.9
喫茶 M & M,카페,4.7
四季膳あかり,일식,4.8
宇奈とと×もんじゃココきよ大名店 우나토토 몬자 코코키요 다이묘점,일식,4.7
居酒屋夢月希 할배집,이자카야,4.9
火星家,이자카야,4.6
無限焼肉いいねいいね,야키니쿠/고기,4.8
焼うお いし川 博多,일식,4.7
焼酎ダイニング 喜久屋,이자카야,4.7
焼酎・旬彩料理CHIKO,이자카야,4.6
自社活魚車直接仕入れ 玄海亭本店,이자카야,4.3
豊後炊き肉とお晩菜いっしょう,일식,4.7
간소 라멘 나가하마케,라멘,3.7
규카츠 교토가츠규 후쿠오카 텐진 거리점,일식,4.7
규카츠 모토무라 후쿠오카 파르코점,일식,4.9
긴샤리 야키니쿠호르몬,야키니쿠/고기,4.8
나가하마 넘버원 기온점,라멘,4.1
나가하마고텐 스미요시 점,라멘,4.2
나리타야,일식,4.9
나카스라멘 쿄야,라멘,4.1
나카스카와바타 키린,라멘,4.2
넘버샷,이자카야,4.7
네지케몬 이자카야,이자카야,4.0
노 커피,카페,4.2
누마카페,카페,4.8
니시무라야 텐진다이묘점,라멘,4.1
니쿠이치 야쿠인점,야키니쿠/고기,4.5
니쿠젠,야키니쿠/고기,4.2
